GAME_ID,TEAM_ID,FIRST_SHOT_TYPE,FIRST_SHOT_TIME_SEC,FIRST_MINUTE_BASKETS,FIRST_MINUTE_POINTS
0022500157,1610612754,2PT,18.0,0,0
0022500158,1610612738,2PT,,1,2
0022500158,1610612762,2PT,28.0,0,0
0022500159,1610612752,3PT,,1,3
0022500159,1610612764,2PT,18.0,0,0
0022500160,1610612742,2PT,15.0,2,4
0022500160,1610612745,2PT,,0,0
0022500161,1610612763,2PT,,0,0
0022500161,1610612765,3PT,17.0,1,2
0022500162,1610612743,3PT,17.0,2,6
0022500162,1610612758,2PT,,0,0
0022500163,1610612747,2PT,14.0,2,4
0022500163,1610612757,3PT,,0,0
0022500164,1610612746,2PT,,1,2
0022500164,1610612748,2PT,17.0,2,4
0022500165,1610612749,3PT,,1,3
0022500165,1610612761,3PT,22.0,2,6
0022500166,1610612737,3PT,,1,3
0022500166,1610612753,2PT,27.0,1,2
0022500167,1610612741,3PT,,0,0
0022500167,1610612755,2PT,32.0,2,4
0022500168,1610612740,2PT,,1,2
0022500168,1610612766,3PT,16.0,0,0
0022500169,1610612744,2PT,,0,0
0022500169,1610612756,3PT,16.0,1,2
0022500170,1610612746,2PT,,1,2
0022500170,1610612760,2PT,11.0,0,0
0022500171,1610612739,3PT,11.0,1,2
0022500171,1610612755,2PT,,1,2
0022500172,1610612762,3PT,,1,2
0022500172,1610612765,2PT,17.0,2,4
0022500173,1610612751,3PT,24.0,1,3
0022500173,1610612754,2PT,,0,0
0022500174,1610612738,2PT,,1,2
0022500174,1610612764,2PT,19.0,2,3
0022500175,1610612750,3PT,33.0,1,3
0022500175,1610612752,3PT,,1,2
0022500176,1610612745,2PT,,0,0
0022500176,1610612763,3PT,17.0,1,2
0022500177,1610612740,2PT,,0,0
0022500177,1610612742,2PT,13.0,0,0
0022500178,1610612743,2PT,,1,2
0022500178,1610612748,3PT,20.0,2,5
0022500179,1610612747,2PT,,0,0
0022500179,1610612759,3PT,20.0,1,2
0022500180,1610612757,3PT,,0,0
0022500180,1610612760,2PT,20.0,1,2
0022500181,1610612744,3PT,23.0,1,2
0022500181,1610612758,2PT,,0,0
0022500182,1610612746,2PT,,1,2
0022500182,1610612756,2PT,20.0,1,2
0022500183,1610612742,2PT,,0,0
0022500183,1610612764,2PT,18.0,2,4
0022500184,1610612755,2PT,,1,2
0022500184,1610612761,2PT,20.0,2,4
0022500185,1610612737,2PT,28.0,1,2
0022500185,1610612747,2PT,,1,2
0022500186,1610612739,2PT,17.0,2,4
0022500186,1610612741,2PT,,0,0
0022500187,1610612748,2PT,15.0,0,0
0022500187,1610612757,3PT,,1,2
0022500188,1610612740,2PT,,0,0
0022500188,1610612759,3PT,18.0,1,3
0022500189,1610612743,2PT,,1,2
0022500189,1610612754,3PT,35.0,1,2
0022500190,1610612746,2PT,,0,0
